region,hour,fuel,value
DE,1,Power,0.00592
DE,2,Power,0.00748
DE,3,Power,0.01019
DE,4,Power,0.00984
DE,5,Power,0.01023
DE,6,Power,0.00943
DE,7,Power,0.01087
DE,8,Power,0.01064
DE,9,Power,0.01138
DE,10,Power,0.01104
DE,11,Power,0.01001
DE,12,Power,0.01037
DE,13,Power,0.00952
DE,14,Power,0.01003
DE,15,Power,0.0091
DE,16,Power,0.00897
DE,17,Power,0.00831
DE,18,Power,0.0073
DE,19,Power,0.007
DE,20,Power,0.00596
DE,21,Power,0.00616
DE,22,Power,0.00586
DE,23,Power,0.00727
DE,24,Power,0.00849
DE,25,Power,0.00987
DE,26,Power,0.01053
DE,27,Power,0.00948
DE,28,Power,0.00978
DE,29,Power,0.00862
DE,30,Power,0.0097
DE,31,Power,0.00965
DE,32,Power,0.01049
DE,33,Power,0.01037
DE,34,Power,0.00895
DE,35,Power,0.00888
DE,36,Power,0.00789
DE,37,Power,0.00866
DE,38,Power,0.00788
DE,39,Power,0.00782
DE,40,Power,0.00689
DE,41,Power,0.00604
DE,42,Power,0.00551
DE,43,Power,0.00498
DE,44,Power,0.00521
DE,45,Power,0.00519
DE,46,Power,0.0061
DE,47,Power,0.00727
DE,48,Power,0.009
DE,49,Power,0.0091
DE,50,Power,0.00775
DE,51,Power,0.00786
DE,52,Power,0.00806
DE,53,Power,0.00978
DE,54,Power,0.00948
DE,55,Power,0.01035
DE,56,Power,0.01039
DE,57,Power,0.00903
DE,58,Power,0.00846
DE,59,Power,0.00708
DE,60,Power,0.00798
DE,61,Power,0.00752
DE,62,Power,0.00799
DE,63,Power,0.00729
DE,64,Power,0.00642
DE,65,Power,0.00575
DE,66,Power,0.00507
DE,67,Power,0.0052
DE,68,Power,0.00507
DE,69,Power,0.00556
DE,70,Power,0.00633
DE,71,Power,0.00747
DE,72,Power,0.00879
DE,73,Power,0.00809
DE,74,Power,0.00864
DE,75,Power,0.00812
DE,76,Power,0.00972
DE,77,Power,0.00969
DE,78,Power,0.01053
DE,79,Power,0.01034
DE,80,Power,0.00901
DE,81,Power,0.00879
DE,82,Power,0.00791
DE,83,Power,0.00914
DE,84,Power,0.00897
DE,85,Power,0.00958
DE,86,Power,0.00894
DE,87,Power,0.00776
DE,88,Power,0.00681
DE,89,Power,0.00572
DE,90,Power,0.00572
DE,91,Power,0.0054
DE,92,Power,0.0058
DE,93,Power,0.00616
DE,94,Power,0.00729
DE,95,Power,0.0089
DE,96,Power,0.00847
DE,97,Power,0.00939
DE,98,Power,0.0087
DE,99,Power,0.01074
DE,100,Power,0.00993
DE,101,Power,0.01106
DE,102,Power,0.01111
DE,103,Power,0.01055
DE,104,Power,0.01021
DE,105,Power,0.0091
DE,106,Power,0.01071
DE,107,Power,0.01083
DE,108,Power,0.01191
DE,109,Power,0.01156
DE,110,Power,0.01033
DE,111,Power,0.00968
DE,112,Power,0.00826
DE,113,Power,0.00806
DE,114,Power,0.00719
DE,115,Power,0.00723
DE,116,Power,0.00686
DE,117,Power,0.00625
DE,118,Power,0.0054
DE,119,Power,0.00486
DE,120,Power,0.00466
DE,1,Mobility,0.01015
DE,2,Mobility,0.00934
DE,3,Mobility,0.00894
DE,4,Mobility,0.00855
DE,5,Mobility,0.00974
DE,6,Mobility,0.01096
DE,7,Mobility,0.0143
DE,8,Mobility,0.01819
DE,9,Mobility,0.02041
DE,10,Mobility,0.01907
DE,11,Mobility,0.01387
DE,12,Mobility,0.00934
DE,13,Mobility,0.00586
DE,14,Mobility,0.00371
DE,15,Mobility,0.00239
DE,16,Mobility,0.00123
DE,17,Mobility,0.00102
DE,18,Mobility,0.00102
DE,19,Mobility,0.00123
DE,20,Mobility,0.00178
DE,21,Mobility,0.00239
DE,22,Mobility,0.00441
DE,23,Mobility,0.00894
DE,24,Mobility,0.01137
DE,25,Mobility,0.0122
DE,26,Mobility,0.00934
DE,27,Mobility,0.00894
DE,28,Mobility,0.00855
DE,29,Mobility,0.00974
DE,30,Mobility,0.01096
DE,31,Mobility,0.0143
DE,32,Mobility,0.01819
DE,33,Mobility,0.02041
DE,34,Mobility,0.01907
DE,35,Mobility,0.01387
DE,36,Mobility,0.00934
DE,37,Mobility,0.00586
DE,38,Mobility,0.00371
DE,39,Mobility,0.00239
DE,40,Mobility,0.00123
DE,41,Mobility,0.00102
DE,42,Mobility,0.00102
DE,43,Mobility,0.00123
DE,44,Mobility,0.00178
DE,45,Mobility,0.00239
DE,46,Mobility,0.00441
DE,47,Mobility,0.00894
DE,48,Mobility,0.01137
DE,49,Mobility,0.0122
DE,50,Mobility,0.00934
DE,51,Mobility,0.00894
DE,52,Mobility,0.00855
DE,53,Mobility,0.00974
DE,54,Mobility,0.01096
DE,55,Mobility,0.0143
DE,56,Mobility,0.01819
DE,57,Mobility,0.02041
DE,58,Mobility,0.01907
DE,59,Mobility,0.01387
DE,60,Mobility,0.00934
DE,61,Mobility,0.00586
DE,62,Mobility,0.00371
DE,63,Mobility,0.00239
DE,64,Mobility,0.00123
DE,65,Mobility,0.00102
DE,66,Mobility,0.00102
DE,67,Mobility,0.00123
DE,68,Mobility,0.00178
DE,69,Mobility,0.00239
DE,70,Mobility,0.00441
DE,71,Mobility,0.00894
DE,72,Mobility,0.01137
DE,73,Mobility,0.0122
DE,74,Mobility,0.00934
DE,75,Mobility,0.00894
DE,76,Mobility,0.00855
DE,77,Mobility,0.00974
DE,78,Mobility,0.01096
DE,79,Mobility,0.0143
DE,80,Mobility,0.01819
DE,81,Mobility,0.02041
DE,82,Mobility,0.01907
DE,83,Mobility,0.01387
DE,84,Mobility,0.00934
DE,85,Mobility,0.00586
DE,86,Mobility,0.00371
DE,87,Mobility,0.00239
DE,88,Mobility,0.00123
DE,89,Mobility,0.00102
DE,90,Mobility,0.00102
DE,91,Mobility,0.00123
DE,92,Mobility,0.00178
DE,93,Mobility,0.00239
DE,94,Mobility,0.00441
DE,95,Mobility,0.00894
DE,96,Mobility,0.01137
DE,97,Mobility,0.0122
DE,98,Mobility,0.00934
DE,99,Mobility,0.00894
DE,100,Mobility,0.00855
DE,101,Mobility,0.00974
DE,102,Mobility,0.01096
DE,103,Mobility,0.0143
DE,104,Mobility,0.01819
DE,105,Mobility,0.02041
DE,106,Mobility,0.01907
DE,107,Mobility,0.01387
DE,108,Mobility,0.00934
DE,109,Mobility,0.00586
DE,110,Mobility,0.00371
DE,111,Mobility,0.00239
DE,112,Mobility,0.00123
DE,113,Mobility,0.00102
DE,114,Mobility,0.00102
DE,115,Mobility,0.00123
DE,116,Mobility,0.00178
DE,117,Mobility,0.00239
DE,118,Mobility,0.00441
DE,119,Mobility,0.00894
DE,120,Mobility,0.01199
DE,1,Heat,0.02432
DE,2,Heat,0.03153
DE,3,Heat,0.02903
DE,4,Heat,0.0274
DE,5,Heat,0.02023
DE,6,Heat,0.02201
DE,7,Heat,0.02588
DE,8,Heat,0.02642
DE,9,Heat,0.02618
DE,10,Heat,0.02073
DE,11,Heat,0.01604
DE,12,Heat,0.01061
DE,13,Heat,0.00899
DE,14,Heat,0.01065
DE,15,Heat,0.01061
DE,16,Heat,0.01235
DE,17,Heat,0.0095
DE,18,Heat,0.01173
DE,19,Heat,0.01377
DE,20,Heat,0.01669
DE,21,Heat,0.01554
DE,22,Heat,0.01467
DE,23,Heat,0.01391
DE,24,Heat,0.01363
DE,25,Heat,0.01316
DE,26,Heat,0.01262
DE,27,Heat,0.01142
DE,28,Heat,0.00958
DE,29,Heat,0.00676
DE,30,Heat,0.00519
DE,31,Heat,0.00289
DE,32,Heat,0.00275
DE,33,Heat,0.00226
DE,34,Heat,0.00384
DE,35,Heat,0.00367
DE,36,Heat,0.00528
DE,37,Heat,0.00519
DE,38,Heat,0.00804
DE,39,Heat,0.01049
DE,40,Heat,0.0102
DE,41,Heat,0.00911
DE,42,Heat,0.00492
DE,43,Heat,0.00394
DE,44,Heat,0.00273
DE,45,Heat,0.00458
DE,46,Heat,0.00543
DE,47,Heat,0.00501
DE,48,Heat,0.00387
DE,49,Heat,0.00256
DE,50,Heat,0.0026
DE,51,Heat,0.0018
DE,52,Heat,0.0018
DE,53,Heat,0.00167
DE,54,Heat,0.00167
DE,55,Heat,0.00167
DE,56,Heat,0.00167
DE,57,Heat,0.00167
DE,58,Heat,0.00167
DE,59,Heat,0.00167
DE,60,Heat,0.00167
DE,61,Heat,0.00175
DE,62,Heat,0.00194
DE,63,Heat,0.00194
DE,64,Heat,0.002
DE,65,Heat,0.00203
DE,66,Heat,0.0021
DE,67,Heat,0.00183
DE,68,Heat,0.00168
DE,69,Heat,0.00167
DE,70,Heat,0.00168
DE,71,Heat,0.00168
DE,72,Heat,0.00199
DE,73,Heat,0.00242
DE,74,Heat,0.00242
DE,75,Heat,0.00191
DE,76,Heat,0.00167
DE,77,Heat,0.00167
DE,78,Heat,0.00167
DE,79,Heat,0.00167
DE,80,Heat,0.00167
DE,81,Heat,0.00167
DE,82,Heat,0.00167
DE,83,Heat,0.00167
DE,84,Heat,0.00167
DE,85,Heat,0.00167
DE,86,Heat,0.00168
DE,87,Heat,0.00273
DE,88,Heat,0.00444
DE,89,Heat,0.00612
DE,90,Heat,0.00531
DE,91,Heat,0.00475
DE,92,Heat,0.00498
DE,93,Heat,0.00749
DE,94,Heat,0.00967
DE,95,Heat,0.00931
DE,96,Heat,0.00655
DE,97,Heat,0.00596
DE,98,Heat,0.00632
