Year,Region,Storage,Hour,Fuel,Value
2020,DE,Battery,1,Power,1.578721779639419
2020,DE,Battery,2,Power,0.0
2020,DE,Battery,3,Power,0.0
2020,DE,Battery,4,Power,0.0
2020,DE,Battery,5,Power,0.0
2020,DE,Battery,6,Power,0.0
2020,DE,Battery,7,Power,0.0
2020,DE,Battery,8,Power,0.0
2020,DE,Battery,9,Power,0.0
2020,DE,Battery,10,Power,0.0
2020,DE,Battery,11,Power,0.0
2020,DE,Battery,12,Power,0.0
2020,DE,Battery,13,Power,0.0
2020,DE,Battery,14,Power,0.0
2020,DE,Battery,15,Power,0.0
2020,DE,Battery,16,Power,0.0
2020,DE,Battery,17,Power,0.0
2020,DE,Battery,18,Power,0.0
2020,DE,Battery,19,Power,0.0
2020,DE,Battery,20,Power,0.0
2020,DE,Battery,21,Power,0.0
2020,DE,Battery,22,Power,0.0
2020,DE,Battery,23,Power,0.0
2020,DE,Battery,24,Power,0.0
2020,DE,Battery,25,Power,0.0
2020,DE,Battery,26,Power,0.0
2020,DE,Battery,27,Power,0.0
2020,DE,Battery,28,Power,-0.0
2020,DE,Battery,29,Power,-0.0
2020,DE,Battery,30,Power,3.254605080719376
2020,DE,Battery,31,Power,3.238332055315779
2020,DE,Battery,32,Power,3.2221403950392
2020,DE,Battery,33,Power,0.0
2020,DE,Battery,34,Power,0.0
2020,DE,Battery,35,Power,0.0
2020,DE,Battery,36,Power,-0.0
2020,DE,Battery,37,Power,0.0
2020,DE,Battery,38,Power,0.0
2020,DE,Battery,39,Power,0.0
2020,DE,Battery,40,Power,0.0
2020,DE,Battery,41,Power,0.0
2020,DE,Battery,42,Power,0.0
2020,DE,Battery,43,Power,0.0
2020,DE,Battery,44,Power,0.0
2020,DE,Battery,45,Power,0.0
2020,DE,Battery,46,Power,0.0
2020,DE,Battery,47,Power,0.0
2020,DE,Battery,48,Power,0.0
2020,DE,Battery,49,Power,0.0
2020,DE,Battery,50,Power,-0.0
2020,DE,Battery,51,Power,3.725461446490688
2020,DE,Battery,52,Power,4.417821415958233
2020,DE,Battery,53,Power,4.395732308878442
2020,DE,Battery,54,Power,4.373753647334049
2020,DE,Battery,55,Power,5.036144780067883
2020,DE,Battery,56,Power,8.736425502658232
2020,DE,Battery,57,Power,12.418204821635628
2020,DE,Battery,58,Power,12.35611379752745
2020,DE,Battery,59,Power,8.726555076317592
2020,DE,Battery,60,Power,4.083587181811698
2020,DE,Battery,61,Power,0.0
2020,DE,Battery,62,Power,0.0
2020,DE,Battery,63,Power,0.0
2020,DE,Battery,64,Power,0.0
2020,DE,Battery,65,Power,0.0
2020,DE,Battery,66,Power,0.0
2020,DE,Battery,67,Power,-0.0
2020,DE,Battery,68,Power,-0.0
2020,DE,Battery,69,Power,-0.0
2020,DE,Battery,70,Power,-0.0
2020,DE,Battery,71,Power,-0.0
2020,DE,Battery,72,Power,-0.0
2020,DE,Battery,73,Power,-0.0
2020,DE,Battery,74,Power,-0.0
2020,DE,Battery,75,Power,0.0
2020,DE,Battery,76,Power,0.3014783658000013
2020,DE,Battery,77,Power,0.2999709739710013
2020,DE,Battery,78,Power,0.2984711191011463
2020,DE,Battery,79,Power,0.29697876350564056
2020,DE,Battery,80,Power,0.29549386968811236
2020,DE,Battery,81,Power,0.2940164003396718
2020,DE,Battery,82,Power,0.0
2020,DE,Battery,83,Power,0.0
2020,DE,Battery,84,Power,0.0
2020,DE,Battery,85,Power,0.0
2020,DE,Battery,86,Power,0.0
2020,DE,Battery,87,Power,0.0
2020,DE,Battery,88,Power,0.0
2020,DE,Battery,89,Power,0.0
2020,DE,Battery,90,Power,0.0
2020,DE,Battery,91,Power,0.0
2020,DE,Battery,92,Power,0.0
2020,DE,Battery,93,Power,0.0
2020,DE,Battery,94,Power,0.0
2020,DE,Battery,95,Power,0.0
2020,DE,Battery,96,Power,0.0
2020,DE,Battery,97,Power,-0.0
2020,DE,Battery,98,Power,0.0
2020,DE,Battery,99,Power,0.0
2020,DE,Battery,100,Power,0.0
2020,DE,Battery,101,Power,0.0
2020,DE,Battery,102,Power,-0.0
2020,DE,Battery,103,Power,-0.0
2020,DE,Battery,104,Power,0.0
2020,DE,Battery,105,Power,-0.0
2020,DE,Battery,106,Power,-0.0
2020,DE,Battery,107,Power,-0.0
2020,DE,Battery,108,Power,-0.0
2020,DE,Battery,109,Power,-0.0
2020,DE,Battery,110,Power,-0.0
2020,DE,Battery,111,Power,-0.0
2020,DE,Battery,112,Power,-0.0
2020,DE,Battery,113,Power,-0.0
2020,DE,Battery,114,Power,-0.0
2020,DE,Battery,115,Power,-0.0
2020,DE,Battery,116,Power,-0.0
2020,DE,Battery,117,Power,-0.0
2020,DE,Battery,118,Power,-0.0
2020,DE,Battery,119,Power,2.496121572188067
2020,DE,Battery,120,Power,6.209102410817814
2020,DE,PHS,1,Power,-0.0
2020,DE,PHS,2,Power,-0.0
2020,DE,PHS,3,Power,-0.0
2020,DE,PHS,4,Power,-0.0
2020,DE,PHS,5,Power,-0.0
2020,DE,PHS,6,Power,-0.0
2020,DE,PHS,7,Power,-0.0
2020,DE,PHS,8,Power,-0.0
2020,DE,PHS,9,Power,-0.0
2020,DE,PHS,10,Power,-0.0
2020,DE,PHS,11,Power,-0.0
2020,DE,PHS,12,Power,-0.0
2020,DE,PHS,13,Power,-0.0
2020,DE,PHS,14,Power,-0.0
2020,DE,PHS,15,Power,-0.0
2020,DE,PHS,16,Power,-0.0
2020,DE,PHS,17,Power,-0.0
2020,DE,PHS,18,Power,-0.0
2020,DE,PHS,19,Power,-0.0
2020,DE,PHS,20,Power,-0.0
2020,DE,PHS,21,Power,-0.0
2020,DE,PHS,22,Power,-0.0
2020,DE,PHS,23,Power,-0.0
2020,DE,PHS,24,Power,-0.0
2020,DE,PHS,25,Power,-0.0
2020,DE,PHS,26,Power,-0.0
2020,DE,PHS,27,Power,-0.0
2020,DE,PHS,28,Power,-0.0
2020,DE,PHS,29,Power,-0.0
2020,DE,PHS,30,Power,-0.0
2020,DE,PHS,31,Power,-0.0
2020,DE,PHS,32,Power,-0.0
2020,DE,PHS,33,Power,-0.0
2020,DE,PHS,34,Power,-0.0
2020,DE,PHS,35,Power,-0.0
2020,DE,PHS,36,Power,-0.0
2020,DE,PHS,37,Power,-0.0
2020,DE,PHS,38,Power,-0.0
2020,DE,PHS,39,Power,-0.0
2020,DE,PHS,40,Power,-0.0
2020,DE,PHS,41,Power,-0.0
2020,DE,PHS,42,Power,-0.0
2020,DE,PHS,43,Power,-0.0
2020,DE,PHS,44,Power,-0.0
2020,DE,PHS,45,Power,-0.0
2020,DE,PHS,46,Power,-0.0
2020,DE,PHS,47,Power,-0.0
2020,DE,PHS,48,Power,-0.0
2020,DE,PHS,49,Power,-0.0
2020,DE,PHS,50,Power,-0.0
2020,DE,PHS,51,Power,-0.0
2020,DE,PHS,52,Power,-0.0
2020,DE,PHS,53,Power,-0.0
2020,DE,PHS,54,Power,-0.0
2020,DE,PHS,55,Power,-0.0
2020,DE,PHS,56,Power,-0.0
2020,DE,PHS,57,Power,-0.0
2020,DE,PHS,58,Power,-0.0
2020,DE,PHS,59,Power,-0.0
2020,DE,PHS,60,Power,-0.0
2020,DE,PHS,61,Power,-0.0
2020,DE,PHS,62,Power,-0.0
2020,DE,PHS,63,Power,-0.0
2020,DE,PHS,64,Power,-0.0
2020,DE,PHS,65,Power,-0.0
2020,DE,PHS,66,Power,-0.0
2020,DE,PHS,67,Power,-0.0
2020,DE,PHS,68,Power,-0.0
2020,DE,PHS,69,Power,-0.0
2020,DE,PHS,70,Power,-0.0
2020,DE,PHS,71,Power,-0.0
2020,DE,PHS,72,Power,-0.0
2020,DE,PHS,73,Power,-0.0
2020,DE,PHS,74,Power,-0.0
2020,DE,PHS,75,Power,-0.0
2020,DE,PHS,76,Power,-0.0
2020,DE,PHS,77,Power,-0.0
2020,DE,PHS,78,Power,-0.0
2020,DE,PHS,79,Power,-0.0
2020,DE,PHS,80,Power,-0.0
2020,DE,PHS,81,Power,0.0
2020,DE,PHS,82,Power,-0.0
2020,DE,PHS,83,Power,-0.0
2020,DE,PHS,84,Power,-0.0
2020,DE,PHS,85,Power,-0.0
2020,DE,PHS,86,Power,-0.0
