Year,Region,Technology,Value
2050,DE,H2Car,-0.0
2020,FR,H2Car,-0.0
2030,FR,H2Car,-0.0
2040,FR,H2Car,-0.0
2050,FR,H2Car,-0.0
2020,NO,H2Car,-0.0
2030,NO,H2Car,-0.0
2040,NO,H2Car,-0.0
2050,NO,H2Car,-0.0
2020,DK,H2Car,-0.0
2030,DK,H2Car,-0.0
2040,DK,H2Car,-0.0
2050,DK,H2Car,-0.0
2020,UK,H2Car,-0.0
2030,UK,H2Car,-0.0
2040,UK,H2Car,-0.0
2050,UK,H2Car,-0.0
2020,DE,BEV,-0.0
2030,DE,BEV,-0.0
2040,DE,BEV,-0.0
2050,DE,BEV,-0.0
2020,FR,BEV,-0.0
2030,FR,BEV,-0.0
2040,FR,BEV,-0.0
2050,FR,BEV,-0.0
2020,NO,BEV,-0.0
2030,NO,BEV,-0.0
2040,NO,BEV,-0.0
2050,NO,BEV,-0.0
2020,DK,BEV,-0.0
2030,DK,BEV,-0.0
2040,DK,BEV,-0.0
2050,DK,BEV,-0.0
2020,UK,BEV,-0.0
2030,UK,BEV,-0.0
2040,UK,BEV,-0.0
2050,UK,BEV,-0.0
2020,DE,LPGCar,1199.8440000000007
2030,DE,LPGCar,1379.8206
2040,DE,LPGCar,1073.6642298730299
2050,DE,LPGCar,-0.0
2020,FR,LPGCar,774.00799718372
2030,FR,LPGCar,1008.4746242263565
2040,FR,LPGCar,249.50859522122985
2050,FR,LPGCar,8.00793872424242
2020,NO,LPGCar,164.97855
2030,NO,LPGCar,189.72533249999992
2040,NO,LPGCar,161.17633916454545
2050,NO,LPGCar,-0.0
2020,DK,LPGCar,179.97660000000002
2030,DK,LPGCar,206.97309000000007
2040,DK,LPGCar,95.4030301739394
2050,DK,LPGCar,-0.0
2020,UK,LPGCar,583.2926839077517
2030,UK,LPGCar,821.7256518980745
2040,UK,LPGCar,117.08254360261573
2050,UK,LPGCar,-0.0
2020,DE,WindOnshore,-0.0
2030,DE,WindOnshore,-0.0
2040,DE,WindOnshore,-0.0
2050,DE,WindOnshore,-0.0
2020,FR,WindOnshore,-0.0
2030,FR,WindOnshore,-0.0
2040,FR,WindOnshore,-0.0
2050,FR,WindOnshore,-0.0
2020,NO,WindOnshore,-0.0
2030,NO,WindOnshore,-0.0
2040,NO,WindOnshore,-0.0
2050,NO,WindOnshore,-0.0
2020,DK,WindOnshore,-0.0
2030,DK,WindOnshore,-0.0
2040,DK,WindOnshore,-0.0
2050,DK,WindOnshore,-0.0
2020,UK,WindOnshore,-0.0
2030,UK,WindOnshore,-0.0
2040,UK,WindOnshore,-0.0
2050,UK,WindOnshore,-0.0
2020,DE,WindOffshore,-0.0
2030,DE,WindOffshore,-0.0
2040,DE,WindOffshore,-0.0
2050,DE,WindOffshore,-0.0
2020,FR,WindOffshore,-0.0
2030,FR,WindOffshore,-0.0
2040,FR,WindOffshore,-0.0
2050,FR,WindOffshore,-0.0
2020,NO,WindOffshore,-0.0
2030,NO,WindOffshore,-0.0
2040,NO,WindOffshore,-0.0
2050,NO,WindOffshore,-0.0
2020,DK,WindOffshore,-0.0
2030,DK,WindOffshore,-0.0
2040,DK,WindOffshore,-0.0
2050,DK,WindOffshore,-0.0
2020,UK,WindOffshore,-0.0
2030,UK,WindOffshore,-0.0
2040,UK,WindOffshore,-0.0
2050,UK,WindOffshore,-0.0
2020,DE,ElectricHeater,-0.0
2030,DE,ElectricHeater,-0.0
2040,DE,ElectricHeater,-0.0
2050,DE,ElectricHeater,-0.0
2020,FR,ElectricHeater,-0.0
2030,FR,ElectricHeater,-0.0
2040,FR,ElectricHeater,-0.0
2050,FR,ElectricHeater,-0.0
2020,NO,ElectricHeater,-0.0
2030,NO,ElectricHeater,-0.0
2040,NO,ElectricHeater,-0.0
2050,NO,ElectricHeater,-0.0
2020,DK,ElectricHeater,-0.0
2030,DK,ElectricHeater,-0.0
2040,DK,ElectricHeater,-0.0
2050,DK,ElectricHeater,-0.0
2020,UK,ElectricHeater,-0.0
2030,UK,ElectricHeater,-0.0
2040,UK,ElectricHeater,-0.0
2050,UK,ElectricHeater,-0.0
2020,DE,BiomassGenerator,-0.0
2030,DE,BiomassGenerator,-0.0
2040,DE,BiomassGenerator,-0.0
2050,DE,BiomassGenerator,-0.0
2020,FR,BiomassGenerator,-0.0
2030,FR,BiomassGenerator,-0.0
2040,FR,BiomassGenerator,-0.0
2050,FR,BiomassGenerator,-0.0
2020,NO,BiomassGenerator,-0.0
2030,NO,BiomassGenerator,-0.0
2040,NO,BiomassGenerator,-0.0
2050,NO,BiomassGenerator,-0.0
2020,DK,BiomassGenerator,-0.0
2030,DK,BiomassGenerator,-0.0
2040,DK,BiomassGenerator,-0.0
2050,DK,BiomassGenerator,-0.0
2020,UK,BiomassGenerator,-0.0
2030,UK,BiomassGenerator,-0.0
2040,UK,BiomassGenerator,-0.0
2050,UK,BiomassGenerator,-0.0
2020,DE,BECCS,-0.0
2030,DE,BECCS,-47.33262470875772
2040,DE,BECCS,-224.56709120655776
2050,DE,BECCS,-0.0
2020,FR,BECCS,-158.98709033722142
2030,FR,BECCS,-302.1323832965541
2040,FR,BECCS,-211.6406300045547
2050,FR,BECCS,-52.69501647
2020,NO,BECCS,-0.0
2030,NO,BECCS,-104.87265362920989
2040,NO,BECCS,-60.0
2050,NO,BECCS,-0.0
2020,DK,BECCS,-0.0
2030,DK,BECCS,-0.0
2040,DK,BECCS,-48.89392258833333
2050,DK,BECCS,-0.0
2020,UK,BECCS,-0.0
2030,UK,BECCS,-305.49126771727214
2040,UK,BECCS,-184.52080097162104
2050,UK,BECCS,-34.991436191912655
